title,url,description,img
"'Great loss to art': Amit Shah, Yogi Adityanath lead tributes to comedian Raju Srivastava",/india/story/comedian-raju-srivastava-passes-away-political-leaders-pay-tributes-2002772-2022-09-21,"Union Home Minister Amit Shah, Defence Minister Rajnath Singh, Uttar Pradesh
Chief Minister Yogi Adityanath, and several others expressed grief after
comedian Raju Srivastava passed away aged 58. Srivastava was hospitalised for
over a month after suffering a cardiac arrest.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/Raju_srivastava_dies_political_1200x768.jpeg?Qqz3itg5eO.gmuxLSx1DxghwTbw7Em81&size=170:96
Road mishaps claim 6 lives in 2 days on busy Mumbai-Ahmedabad highway,/india/story/mumbai-ahmedabad-highway-road-accidents-6-killed-palghar-2002770-2022-09-21,"Six people were killed in two road accidents on the busy Mumbai-Ahmedabad
highway in Maharashtra's Palghar district in the last two days, police said.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/accident_1200x768_0_1200x768.jpeg?sN7XPRVy5qmL73YYsrKJhZo._Y2gW_3l&size=170:96
Student’s suicide sparks massive protest at university in Punjab’s Phagwara,/india/story/student-suicide-lovely-professional-university-punjab-protests-2002768-2022-09-21,"A first-year student at Lovely Professional University in Punjab died by
suicide, triggering a protest by fellow students on the campus.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/FdH464FacAAuedv_1200x768.jpeg?7PSI6Li.2d_pPHdLkV9X9kqbV57qb9Vj&size=170:96
"J&K Police cracks down on banned outfit Jamaat-e-Islami, affiliates ",/india/story/jk-police-cracks-down-on-banned-outfit-jamaate-islami-affiliates-2002766-2022-09-21,"A State Investigation Agency (SIA) of the Jammu and Kashmir Police raided
multiple places owned or used by the banned group Jamaat-e-Islami and its
affiliate Falah-e-Aam Trust (FAT).",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/police_0_0_1200x768.jpeg?5XQ7TuL.xKj61XeJAyqtNLT8vzB4lO3Z&size=170:96
"Jharkhand MLA sits on muddy street, takes bath to demand repair of road | Video ",/india/story/jharkhand-mla-sits-on-muddy-road-bathes-demands-repair-2002758-2022-09-21,"Deepika Pandey Singh, MLA from Jharkhand's Godda sat on a muddy road on
Wednesday to demand its repair.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/WhatsApp_Image_2022-09-21_at_1_1200x768.jpeg?JyrG46j4fAmNplFRymTdwLU90ku4aPAf&size=170:96
Comedian Raju Srivastava passes away at 58,/india/story/comedian-raju-shrivastava-dead-passes-away-2002750-2022-09-21,Comedian Raju Srivastava passed away on Wednesday morning. He was 58.,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/raju_srivastava_1200x768.jpeg?WWPyZ9PNUBKhw3TpB4Df7md4ye7yS7RT&size=170:96
"OP Rajbhar meets CM Yogi, demands Scheduled Tribe status for his community",/india/story/op-rajbhar-meets-yogi-adityanath-scheduled-tribe-status-2002746-2022-09-21,"SBSP chief Om Prakash Rajbhar raised the demand to include Bhar and Rajbhar
communities under the Scheduled Tribes category during a meeting with CM Yogi
Adityanath.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/OP_Rajbhar_with_Yogi_Adityanat_1200x768.jpeg?LEyyV1FKqb8eUci2CHRtkadyakwui4oR&size=170:96
"Whatever party decides, says Sachin Pilot on who will be next Rajasthan CM",/india/story/sachin-pilot-congress-president-election-rajasthan-ashok-gehlot-2002747-2022-09-21,"Ahead of next year's Rajasthan Assembly polls, Congress leader Sachin Pilot
has said that he would accept whatever role the party leadership decides for
him.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/sachin_pilot_with_ashok_gehlot_1200x768.jpeg?WHzfkL1kig7gyiosYsv.a_AHvxFs_OFA&size=170:96
Protest erupts in Punjab's Jalandhar after student dies by suicide inside college campus,/india/video/protest-punjab-jalandhar-student-suicide-inside-college-campus-2002739-2022-09-21,"Massive protests erupted in Punjab's Jalandhar after a student died by
suicide inside a college campus. The initial probe has revealed that the
student cited personal reasons for taking the drastic step in the suicide
note left behind.
Further investigations in the case are underway.",https://akm-img-a-in.tosshub.com/indiatoday/images/video/202209/image__1__0_1200x768.jpeg?v4pRCvI7ptqZtLTyR0nMq3jMTmDHQcHZ&size=170:96
‘PayCM’ posters dot Bengaluru as Cong takes '40% sarkar’ jibe at BJP,/india/story/paycm-posters-basavaraj-bommai-bengaluru-congress-40-percent-sarkar-bjp-2002737-2022-09-21,"The Karnataka Congress has put up “PayCM” posters in Bengaluru with Chief
Minister Basavraj Bommai’s visage and a QR code that redirects to the '40
per cent Sarkara' website.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202209/WhatsApp_Image_2022-09-21_at_9.jpeg?AjZfxEMc.deRT0waZdCQ47HTzoGBMHrf&size=170:96
